ID,ActMode,EpNum,Date,Time,Act,Sleep,Down,IntCustom,Bad,Event,Light,LifeMeasure,OffWrist,PIM
unknown,ZCM,242,6/19/2024,14:38:00,277,0,0,0,0,0,167.7857,10000,0,11633.28
unknown,ZCM,243,6/19/2024,14:39:00,250,0,0,0,0,0,169.9286,10000,0,5277.222
unknown,ZCM,244,6/19/2024,14:40:00,283,0,0,0,0,0,185.1436,10000,0,9381.056
unknown,ZCM,245,6/19/2024,14:41:00,294,0,0,0,0,0,156.0824,10000,0,7010.944
unknown,ZCM,246,6/19/2024,14:42:00,294,0,0,0,0,0,203.0092,10000,0,8066.667
unknown,ZCM,247,6/19/2024,14:43:00,299,0,0,0,0,0,236.1079,10000,0,10411.06
unknown,ZCM,248,6/19/2024,14:44:00,294,0,0,0,0,0,194.1336,10000,0,7135.389
unknown,ZCM,249,6/19/2024,14:45:00,292,0,0,0,0,0,169.3517,10000,0,7446.333
unknown,ZCM,250,6/19/2024,14:46:00,292,0,0,0,0,0,169.3517,10000,0,7503.111
unknown,ZCM,251,6/19/2024,14:47:00,270,0,0,0,0,0,153.7355,10000,0,5754.056
unknown,ZCM,252,6/19/2024,14:48:00,278,0,0,0,0,0,156.989,10000,0,7253.389
unknown,ZCM,253,6/19/2024,14:49:00,245,0,0,0,0,0,137.3885,10000,0,6381
unknown,ZCM,254,6/19/2024,14:50:00,171,0,0,0,0,0,199.4424,10000,0,3978.5
unknown,ZCM,255,6/19/2024,14:51:00,283,0,0,0,0,0,26.31034,10000,0,15133.5
unknown,ZCM,256,6/19/2024,14:52:00,264,0,0,0,0,0,35.82609,10000,0,10005.22
unknown,ZCM,257,6/19/2024,14:53:00,304,0,0,0,0,0,50.98305,10000,0,8266.833
unknown,ZCM,258,6/19/2024,14:54:00,242,0,0,0,0,0,116.9643,10000,0,5795.389
unknown,ZCM,259,6/19/2024,14:55:00,306,0,0,0,0,0,44.45763,10000,0,5309.389
unknown,ZCM,260,6/19/2024,14:56:00,249,0,0,0,0,0,55.98077,10000,0,6015.444
unknown,ZCM,261,6/19/2024,14:57:00,166,0,0,0,0,0,89.74359,10000,0,3252.111
unknown,ZCM,262,6/19/2024,14:58:00,241,0,0,0,0,0,179.3094,10000,0,5196.556
unknown,ZCM,263,6/19/2024,14:59:00,241,0,0,0,0,0,88.89744,10000,0,8314.389
unknown,ZCM,264,6/19/2024,15:00:00,178,0,0,0,0,0,136.7842,10000,0,4190.611
unknown,ZCM,265,6/19/2024,15:01:00,218,0,0,0,0,0,139.6331,10000,0,2795.889
